Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7007","July","LCU","303602.2","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7008","August","LCU","303602.2","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7009","September","LCU","284214.3","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7010","October","LCU","288229.8","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7011","November","LCU","286930.9","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7012","December","LCU","306801.9","","Official data"
"PP","Producer Prices","3","Albania","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","LCU","392184","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","SLC","381000","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","SLC","508000","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","SLC","294138","","Official data"
"PP","Producer Prices","3","Albania","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","SLC","392184","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","USD","3605.6","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","USD","4807.5","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","USD","2469.7","","Official data"
"PP","Producer Prices","3","Albania","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","USD","3292.9","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2013","2013","7021","Annual value","","104.05","Fc","Calculated data"
"PP","Producer Prices","3","Albania","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2017","2017","7021","Annual value","","80.33","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","LCU","188636.4","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","LCU","249000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7001","January","LCU","304000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7002","February","LCU","243000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7003","March","LCU","199000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7004","April","LCU","188000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7005","May","LCU","189000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7006","June","LCU","225000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7007","July","LCU","282000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7008","August","LCU","327000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7009","September","LCU","327000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7010","October","LCU","259000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7011","November","LCU","217000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7012","December","LCU","223000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","LCU","183333.3","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","LCU","242000","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7001","January","LCU","214860.2","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7002","February","LCU","187680.5","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7003","March","LCU","200472.9","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7004","April","LCU","248451.8","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7005","May","LCU","232743","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7006","June","LCU","238538.9","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7007","July","LCU","277381.5","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7008","August","LCU","282503.1","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7009","September","LCU","260658","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7010","October","LCU","233799","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7011","November","LCU","266656.9","","Official data"
"PP","Producer Prices","4","Algeria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7012","December","LCU","263517","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","SLC","188636.4","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","SLC","249000","","Official data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","SLC","183333.3","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","SLC","242000","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","USD","2376.7","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","USD","3137.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","USD","1652.1","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","USD","2180.7","","Official data"
"PP","Producer Prices","4","Algeria","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2013","2013","7021","Annual value","","96.89","Fc","Calculated data"
"PP","Producer Prices","4","Algeria","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2017","2017","7021","Annual value","","94.16","Fc","Calculated data"
"PP","Producer Prices","9","Argentina","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","LCU","5793.6","","Official data"
"PP","Producer Prices","9","Argentina","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","LCU","7524.2","Fc","Calculated data"
"PP","Producer Prices","9","Argentina","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","LCU","12803.3","","Official data"
"PP","Producer Prices","9","Argentina","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","LCU","21200","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","SLC","5793.6","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","SLC","7524.2","Fc","Calculated data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","SLC","12803.3","","Official data"
"PP","Producer Prices","9","Argentina","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","SLC","21200","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","USD","1061.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","USD","1378.2","Fc","Calculated data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","USD","773","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","USD","1280","","Official data"
"PP","Producer Prices","9","Argentina","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2013","2013","7021","Annual value","","50.32","Fc","Calculated data"
"PP","Producer Prices","9","Argentina","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2017","2017","7021","Annual value","","141.79","Fc","Calculated data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","LCU","387295.7","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7003","March","LCU","333410","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7004","April","LCU","373390.6","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7005","May","LCU","383549.8","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7006","June","LCU","387418.4","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7007","July","LCU","399495.6","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7008","August","LCU","400092","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","LCU","1717381","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7001","January","LCU","1531566","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7002","February","LCU","1619696","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7003","March","LCU","1623568","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7004","April","LCU","1537037","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7005","May","LCU","1557497","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7006","June","LCU","1556755","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7007","July","LCU","1609228","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7008","August","LCU","1809254","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7009","September","LCU","1652893","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7010","October","LCU","1703546","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7011","November","LCU","1805304","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7012","December","LCU","1864765","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","LCU","406353","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7003","March","LCU","409325","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7004","April","LCU","408655","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7005","May","LCU","408071","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7006","June","LCU","409259","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7007","July","LCU","394986","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7008","August","LCU","385803","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","LCU","1805939","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7001","January","LCU","1572828","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7002","February","LCU","1457295","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7003","March","LCU","1634845","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7004","April","LCU","1705916","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7005","May","LCU","1760702","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7006","June","LCU","2138039","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7007","July","LCU","1696924","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7008","August","LCU","1564111","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7009","September","LCU","1706410","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7010","October","LCU","1733028","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7011","November","LCU","1892126","","Official data"
"PP","Producer Prices","1","Armenia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2017","2017","7012","December","LCU","1980868","","Official data"
"PP","Producer Prices","1","Armenia","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","SLC","387295.7","","Official data"
"PP","Producer Prices","1","Armenia","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","SLC","1717381","","Official data"
"PP","Producer Prices","1","Armenia","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","SLC","406353","","Official data"
"PP","Producer Prices","1","Armenia","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","SLC","1805939","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","USD","945.5","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","USD","4192.6","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","USD","841.8","","Official data"
"PP","Producer Prices","1","Armenia","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2017","2017","7021","Annual value","USD","3741.2","","Official data"
"PP","Producer Prices","1","Armenia","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2013","2013","7021","Annual value","","96.92","Fc","Calculated data"
"PP","Producer Prices","1","Armenia","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2017","2017","7021","Annual value","","101.92","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","LCU","1303","","Official data"
"PP","Producer Prices","10","Australia","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","LCU","1945","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","SLC","1303","","Official data"
"PP","Producer Prices","10","Australia","5531","Producer Price (SLC/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","SLC","1945","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","USD","1257.9","","Official data"
"PP","Producer Prices","10","Australia","5532","Producer Price (USD/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","USD","1877.7","","Official data"
"PP","Producer Prices","10","Australia","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2013","2013","7021","Annual value","","99.57","Fc","Calculated data"
"PP","Producer Prices","10","Australia","5539","Producer Price Index (2014-2016 = 100)","1058","Meat, chicken","2017","2017","7021","Annual value","","103.83","Fc","Calculated data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7021","Annual value","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7001","January","LCU","934","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7002","February","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7003","March","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7004","April","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7005","May","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7006","June","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7007","July","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7008","August","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7009","September","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7010","October","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7011","November","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2013","2013","7012","December","LCU","923","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7021","Annual value","LCU","2348","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7001","January","LCU","2080","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7002","February","LCU","2090","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7003","March","LCU","2060","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7004","April","LCU","2090","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7005","May","LCU","2090","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7006","June","LCU","2090","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7007","July","LCU","2080","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7008","August","LCU","2100","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7009","September","LCU","2280","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7010","October","LCU","2330","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7011","November","LCU","2390","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1058","Meat, chicken","2013","2013","7012","December","LCU","2410","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7021","Annual value","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7001","January","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7002","February","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7003","March","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7004","April","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7005","May","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7006","June","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7007","July","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7008","August","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7009","September","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7010","October","LCU","1077","","Official data"
"PP","Producer Prices","11","Austria","5530","Producer Price (LCU/tonne)","1095","Meat live weight, chicken","2017","2017","7011","November","LCU","1077","","Official data"
